mode,sample,launches_per_event_interval,first,fe2o3_us,hipblaslt_us
synchronized_latency,385,1,hipblaslt,8.88,18.161
synchronized_latency,386,1,fe2o3,6.48,11.68
synchronized_latency,387,1,hipblaslt,8.72,8.96
synchronized_latency,388,1,fe2o3,7.32,13.48
synchronized_latency,389,1,hipblaslt,11.48,8.16
synchronized_latency,390,1,fe2o3,8.84,9.8
synchronized_latency,391,1,hipblaslt,9.24,11.24
synchronized_latency,392,1,fe2o3,6.48,17.64
synchronized_latency,393,1,hipblaslt,6.401,7.96
synchronized_latency,394,1,fe2o3,6.36,8.32
synchronized_latency,395,1,hipblaslt,6.52,8
synchronized_latency,396,1,fe2o3,6.44,8.24
synchronized_latency,397,1,hipblaslt,6.32,7.8
synchronized_latency,398,1,fe2o3,6.32,7.92
synchronized_latency,399,1,hipblaslt,6.32,7.76
synchronized_latency,400,1,fe2o3,6.36,7.88
synchronized_latency,401,1,hipblaslt,6.32,7.88
synchronized_latency,402,1,fe2o3,6.4,8
synchronized_latency,403,1,hipblaslt,7.04,13.84
synchronized_latency,404,1,fe2o3,6.48,10.32
synchronized_latency,405,1,hipblaslt,6.48,7.76
synchronized_latency,406,1,fe2o3,6.44,8.72
synchronized_latency,407,1,hipblaslt,6.36,7.6
synchronized_latency,408,1,fe2o3,6.36,7.84
synchronized_latency,409,1,hipblaslt,6.48,8
synchronized_latency,410,1,fe2o3,6.52,7.96
synchronized_latency,411,1,hipblaslt,6.4,7.8
synchronized_latency,412,1,fe2o3,6.48,7.64
synchronized_latency,413,1,hipblaslt,6.48,7.88
synchronized_latency,414,1,fe2o3,6.56,7.92
synchronized_latency,415,1,hipblaslt,6.48,7.72
synchronized_latency,416,1,fe2o3,6.52,7.88
synchronized_latency,417,1,hipblaslt,6.44,7.68
synchronized_latency,418,1,fe2o3,6.44,8.2
synchronized_latency,419,1,hipblaslt,6.44,8.12
synchronized_latency,420,1,fe2o3,6.48,8.08
synchronized_latency,421,1,hipblaslt,6.52,8.16
synchronized_latency,422,1,fe2o3,6.6,8.48
synchronized_latency,423,1,hipblaslt,6.4,8.16
synchronized_latency,424,1,fe2o3,6.52,7.92
synchronized_latency,425,1,hipblaslt,6.56,7.96
synchronized_latency,426,1,fe2o3,6.52,7.921
synchronized_latency,427,1,hipblaslt,6.4,8.12
synchronized_latency,428,1,fe2o3,6.44,8.04
synchronized_latency,429,1,hipblaslt,6.36,7.8
synchronized_latency,430,1,fe2o3,6.48,10.2
synchronized_latency,431,1,hipblaslt,6.56,7.64
synchronized_latency,432,1,fe2o3,6.48,7.88
synchronized_latency,433,1,hipblaslt,6.36,7.76
synchronized_latency,434,1,fe2o3,6.44,8.12
synchronized_latency,435,1,hipblaslt,6.4,7.72
synchronized_latency,436,1,fe2o3,6.36,7.72
synchronized_latency,437,1,hipblaslt,6.401,8.4
